TIME,TYPE,MESSAGE
LOG FILE INTIALIZED
23:09:57,INIT,"ffmpeg version 2023-10-18-git-e7a6bba51a-full_build-www.gyan.dev Copyright (c) 2000-2023 the FFmpeg developers"
23:09:57,INIT,"ffprobe version 2023-10-18-git-e7a6bba51a-full_build-www.gyan.dev Copyright (c) 2007-2023 the FFmpeg developers"
23:09:57,INIT,"HAPpy v0.0.1 started"
23:15:36,INIT,"HAPpy v0.0.1 started"
23:16:10,INIT,"HAPpy v0.0.1 started"
23:46:00,INIT,"HAPpy v0.0.1 started"
23:47:43,INIT,"HAPpy v0.0.1 started"
23:53:01,INIT,"HAPpy v0.0.1 started"
23:53:19,INIT,"HAPpy v0.0.1 started"
